arizona  2396411 votes,     0.45 % trump,    0.537 % biden, 2020-11-04T03:31:35ZOkay: 
arizona  2397005 votes,     0.45 % trump,    0.537 % biden, 2020-11-04T03:34:13ZOkay: 
arizona  2397263 votes,     0.45 % trump,    0.537 % biden, 2020-11-04T03:37:56ZOkay: 
arizona  2398824 votes,     0.45 % trump,    0.537 % biden, 2020-11-04T03:57:01ZOkay: 
arizona  2400954 votes,     0.45 % trump,    0.537 % biden, 2020-11-04T04:03:37ZOkay: 
arizona  2402922 votes,     0.45 % trump,    0.536 % biden, 2020-11-04T04:04:48ZSUSPICIOUS, BIDEN VOTES NOMINALLY DECREASED: 
arizona  2403384 votes,     0.45 % trump,    0.536 % biden, 2020-11-04T04:05:29ZOkay: 
arizona  2404551 votes,     0.45 % trump,    0.536 % biden, 2020-11-04T04:07:29ZOkay: 
arizona  2408896 votes,    0.451 % trump,    0.536 % biden, 2020-11-04T04:23:33ZOkay: 
arizona  2410178 votes,    0.451 % trump,    0.535 % biden, 2020-11-04T04:26:30ZSUSPICIOUS, BIDEN VOTES NOMINALLY DECREASED: 
arizona  2420394 votes,     0.45 % trump,    0.536 % biden, 2020-11-04T04:38:07ZOkay: 
arizona  2483748 votes,    0.456 % trump,    0.531 % biden, 2020-11-04T05:53:27ZOkay: 
arizona  2483894 votes,    0.456 % trump,    0.531 % biden, 2020-11-04T05:57:55ZOkay: 
arizona  2502286 votes,    0.458 % trump,    0.528 % biden, 2020-11-04T06:01:59ZOkay: 
arizona  2521845 votes,     0.46 % trump,    0.526 % biden, 2020-11-04T06:04:42ZOkay: 
arizona  2533873 votes,    0.461 % trump,    0.526 % biden, 2020-11-04T06:07:45ZOkay: 
arizona  2536236 votes,    0.461 % trump,    0.525 % biden, 2020-11-04T06:17:33ZSUSPICIOUS, BIDEN VOTES NOMINALLY DECREASED: 
arizona  2537774 votes,    0.461 % trump,    0.525 % biden, 2020-11-04T06:34:40ZOkay: 
arizona  2550854 votes,    0.463 % trump,    0.524 % biden, 2020-11-04T06:43:46ZOkay: 
arizona  2552808 votes,    0.463 % trump,    0.524 % biden, 2020-11-04T06:48:46ZOkay: 
arizona  2552842 votes,    0.463 % trump,    0.524 % biden, 2020-11-04T06:52:30ZOkay: 
arizona  2567895 votes,    0.463 % trump,    0.523 % biden, 2020-11-04T07:20:03ZOkay: 
arizona  2567903 votes,    0.463 % trump,    0.523 % biden, 2020-11-04T07:20:41ZOkay: 
arizona  2623219 votes,    0.467 % trump,    0.519 % biden, 2020-11-04T07:30:48ZOkay: 
arizona  2638624 votes,    0.469 % trump,    0.518 % biden, 2020-11-04T07:33:40ZOkay: 
arizona  2639559 votes,    0.468 % trump,    0.518 % biden, 2020-11-04T07:39:40Z SUSPICIOUS, TRUMP VOTES NOMINALLY DECREASED: 
arizona        0 votes,        0 % trump,        0 % biden, 2020-11-04T10:02:04ZEXCLUDE: ZERO TOTAL VOTES: 
arizona  2766463 votes,    0.476 % trump,     0.51 % biden, 2020-11-04T14:44:09ZOkay: 
arizona  2766673 votes,    0.476 % trump,     0.51 % biden, 2020-11-04T18:51:42ZOkay: 
arizona  2766739 votes,    0.476 % trump,     0.51 % biden, 2020-11-04T19:39:52ZOkay: 
arizona  2767524 votes,    0.476 % trump,     0.51 % biden, 2020-11-04T20:27:42ZOkay: 
arizona  2773138 votes,    0.476 % trump,     0.51 % biden, 2020-11-05T00:41:41ZOkay: 
arizona  2848675 votes,    0.479 % trump,    0.507 % biden, 2020-11-05T02:02:47ZOkay: 
arizona  2910677 votes,    0.481 % trump,    0.505 % biden, 2020-11-05T07:40:12ZOkay: 
arizona  2912613 votes,    0.481 % trump,    0.505 % biden, 2020-11-05T19:13:40ZOkay: 
arizona  2913245 votes,    0.481 % trump,    0.505 % biden, 2020-11-05T19:45:35ZOkay: 
arizona  2913429 votes,    0.481 % trump,    0.505 % biden, 2020-11-05T19:49:34ZOkay: 
arizona  2914614 votes,    0.481 % trump,    0.505 % biden, 2020-11-05T20:51:36ZOkay: 
arizona  2918839 votes,    0.481 % trump,    0.505 % biden, 2020-11-05T22:57:35ZOkay: 
arizona  2926841 votes,    0.482 % trump,    0.504 % biden, 2020-11-05T23:06:37ZOkay: 
